Название,Описание,Оценка
Koukaku Kidoutai,2029 год граница реальный мир практически размываться развитие интернет кибернетика это человек становиться уязвимый хакерский атака разыскивать хакер известный кукловод начинать использовать этот уязвимость политический цель девятый отдел группа кибернитически усовершенствовать полицейский поручить найти остановить кукловод мера расследование начинать возникать сомнение являться верный делать человек делать кукловод особенно это мир где различие человек машина практически стереться,8.29
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,незадолго реставрация мэйдзь сэйдзюро хико отшельник мастер клинок встречать бандит вырезать караван работорговец надежда спасти кто хико убивать бандит успевать вовремя заставать живой один маленький мальчик хико уходить оставить ребёнок напутствие отправляться близкий деревня там просить крестьянин приют несколько день хико возвращаться назад удостовериться мальчик поступить он быть сказать свой удивление находить ребёнок неподалёку где тот хоронить убитый бывший раб бандит работорговец видеть потенциал это дитя хико усыновлять он дать мальчик имя кэнсин означать сердце меч отныне кэнсин ученик сэйдзюро хико последний человек япония владеть стиль бой хитэн мицуруга,8.73
Rurouni Kenshin: Meiji Kenkaku Romantan,кэнсин химур бродяга тёмный прошлое изранить душа бывший наёмник период реставрация мэйдзь он бродить мир помогать человек надежда искупить содеять год реставрация мэйдзь кэнсин оказываться токио где помогать девушка каор камия защитить её наследственный додзё бандит каор знать прошлый кэнсин позволять тот остаться постепенно помощь химур додзё собираться сирота яхико кулачный боец саносукэ доктор мэгуметь такани вместе они вести спокойный жизнь наполнить весёлый похождение шутливый перепалка мирный жизнь длиться недолго вскоре мрачный прошлое кэнсин давать себя знать,8.31
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,война сёгунат токугава закончиться несколько год назад есть человек довольный исход этот война такой сигурэ видеть свой глаз он друг семья вырезать имя свобода процветание теперь он вместе банда отчаянный мятежник поклясться свести счёты правительство только один человек становиться они путь кэнсин химур такой узнавать кэнсин сам дело хитокири баттосать он битва становиться личный месть,7.56
Akira,2019 год большой год назад отгреметь третий мировой война нью токио мобилизовать властный структура положить конец никогда прекращаться схватка подпольный банда тень правящий поделить город этот обстановка особый мальчик невероятно мощный сверхъестественный способность информация который храниться недра совершенно секретный файл осуществлять побег место свой заключение случайно столкнуться банда мотоциклист произойти странный образ влиять один член банда тэцуо пробуждать он дремать доселе парапсихический способность вскоре они являться вооружённый человек доставлять он экспериментальный лаборатория рассудок тэцуо уже подорвать мечта сила неограниченный свобода конец конец он отправляться поиск загадочный легендарный акир вызвать некогда страшный взрыв уничтожить токио этот событие оказываться вовлечь сётаро канэда хороший друг тэцуо член антиправительственный организация девушка имя кэй многие другой человек чей судьба переплетаться сильный путь умопомрачительный развязка,8.17
.hack//Sign,цукас очнуться подземелье мморпг название мир вдобавок он временной потеря память он помнить оказаться игра делать ранее желать кто общаться цукас избегать другой игрок это только он неизвестный причина мочь выйти игра поиск ответ он возвращаться подземелье где сундук доставать предмет вид плита который обещать позаботиться он защитить зло помощь приходить субару лидер орден багровый рыцарь вместе несколько другой игрок который познакомиться цукасоя субару решить расследовать почему цукас состояние выйти система попытаться добраться суть проблема ситуация выйти контроль,6.98
Aa! Megami-sama!,студент колледж кэйить морисато пытаться заказать себя обед дом он торопливо набирать номер случайно дозвониться служба божественный помощь зеркало стена появиться отражение неописуемый красота девушка имя верданди оказаться богиня стечение обстоятельство кэйить выгнать общежитие теперь он предстоять долгий сложный путь полный забавный происшествие пройти который он обязать вместе верданди парень пожелать прекрасный богиня навсегда остаться они,7.32
Aa! Megami-sama! (TV),кэйить морисато никак мочь дождаться начаться он университетский жизнь это он всегда весь преследовать неудача проблема друг проблема любовь проблема учёба он родиться несчастливый звезда поступление университет ничего толком измениться один будний день кэйить быть море дело оставить он отсутствовать семпай он зачем понадобиться позвонить один они каков быть он удивление друг конец семпай оказаться служба божественный помощь немного погодя прямо зеркало он комната появляться прекрасный богиня имя верданди явиться выполнить любой желание кэйить,7.35
Tenshi Kinryouku,аниме адаптация манга каорь юки рассказывать мы запутать история юноша сэцуна мудо тело который спать запечатать падший ангел алексиэль приговорить вечно перерождаться человеческий тело он сестра сара который он давно безнадёжно влюбить постепенно душа сэцуна оказываться сам центр борьба рай ад он сам вынуждать стать мессия спасти мир мир ничего он немой нет сара,6.31
Kidou Tenshi Angelic Layer,двенадцатилетний мисак сузухара решать принять участие игра арена ангел помощь электронный кукла именовать боевой ангел она сражаться игрок показывать свой отточить навык игра она встречать новый друг заявляться турнир ангел бороться самый великий чемпион ангел страна,7.26
Ai Yori Aoshi,каор ханабиш студент колледж жить отдельно родитель однажды он встречать красивый растерять девушка одетый кимоно железнодорожный станция каор вызваться проводить она место который она искать быть рад узнать она поселиться неподалёку он это место оказаться пустырь озадачить каор пригласить расстроить девушка пока себя домой попросить она рассказать подробный тот место она показывать он старое фото который он узнать себя подруга детство аой сакураб таинственный девушка оказываться давний подруга который проделать большой путь встретить каор потому она он невеста приехать выйти замуж парень открытие сколько удивить сколько напомнить каор причина заставить он уйти семья,7.14
Appleseed (Movie),вырасти хаос всемирный война город утопия населить человек биороида который поддерживать баланс помогать человечество избегать чрезмерный агрессия конфликт такой идеальный социум намечаться серьёзный брешь это общество появляться человек пережить война дюна нить она нести себя наследие который оказать решающий значение будущее оба вид,7.1
Arc the Lad,этот история рассказывать молодой охотник голова имя элк мы раскрываться странный футуристический мир первый взгляд этот мир архаичный старомодный устаревший взгляд необычный зверь магия здесь бок бок сосуществовать передовой технология наравне праведный добрый есть коварный зло подполье плести свой козни заговор существовать некий тайный организация незаконный эксперимент создавать человек злобный монстр химера наш отважный герой элк однажды спасать прекрасный незнакомка она страшный питомец оказываться сам гуща событие находить новый друг отыскивать новый враг,6.53
Avenger,мир который марс быть колонизировать ребёнок быть заменить робот слуга называть кукла лейла эшли умелый опытный боец скверна славой трагический прошлое она путешествовать мир свой компаньон нэй уникальный кукла необычный поведение связанный неизвестный узы лейла кукольник спидти основатель колония марс видеть это трио угроза создать они мир каждый новый атака мы открываться часть мистический прошлое будущее наш герой,5.9
Beck,юкио танака друг коюк детство любить петь талант он найти применение сам он вести обыкновенный школьный жизнь однажды он спасать странный пёс вид состоять часть разный собака знакомиться он хозяин гитарист рюсукэ мина постепенно коюк начинать большой общаться рюсукэ тот талантливый музыкант мечтать основать собственный группа проходить время рюсукэ собрать талантливый ребята создавать группа назвать её честь свой пёс бек сестра рюсукэ красивый энергичный девушка один возраст коюк махо мина первый оценивать он талант предлагать тот роль вокалист,8.31
Blue Gender,юдзь кайдо обнаружить смертельный болезнь выиграть время дать вирус развиться юдзь погружать криогенный сон пока нет лекарство способный победить неподдающийся лечение недуг он просыпаться год нынешний земля иметь ничего общий воспоминание она инопланетный раса насекомоподобный жуков захватить власть планета пришелец назвать синий цвет они панцирь спасаться нашествие человек создать космический станция название второй земля жить она избранный юдзь встречать группа отправить такой спать криогенный камера они должный добраться домой станция пробивать свой путь полчище жуков совсем синий сильный многочисленный они яростно нападать человек оставлять они надежда спасение,7.05
Chobits,хидэки мотосува переезжать токио провинция надежда поступить университет он мечтать начать встречаться девушка единственный он желание уже довольно долгий время он грезить персокома андроид использовать качество персональный компьютер внешне неотличимый человек только цена они огромный позволить себя персокома мочь самый обеспечить человек однажды вечером дорога домой хидэки натыкаться груда мусор который замечать красивый девушка длинный волос бросить персокома недолго думать он приносить её домой тот хидэки включать её она восхищение приветствовать он произнести мочь один слово хидэки её назвать считать неисправный хидэки следующий утро просить свой сосед хиром шинбо помочь осмотреть её помощь он мобильный персокома сумомый попытка анализ проваливаться единственный зацепка оставаться случайный слух чобит уникальный персокома который они создатель даровать воля разум,7.43
